latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.73762,-62.04183,309.95,3.87,1.83,2021-12-31,0202,T,79,6.1NRT,294.87,53.81,N
-17.72104,-62.04348,321.57,3.87,1.83,2021-12-31,0202,T,100,6.1NRT,294.66,120.14,N
-17.72452,-62.08007,324.62,3.9,1.84,2021-12-31,0202,T,100,6.1NRT,294.66,144.41,N
-17.40608,-62.27929,328.38,4,1.86,2021-12-31,0204,T,100,6.1NRT,294.29,185.45,N
-17.40948,-62.31699,306.48,4.03,1.86,2021-12-31,0204,T,68,6.1NRT,293.89,39.02,N
-17.4015,-62.28621,327.38,4,1.86,2021-12-31,0204,T,100,6.1NRT,294.15,175.87,N
-16.64583,-60.01546,304.28,2.63,1.56,2021-12-31,0204,T,58,6.1NRT,293.53,14.68,N
-16.58022,-61.15615,302.55,3.21,1.7,2021-12-31,0204,T,21,6.1NRT,292.1,20.35,N
-16.1039,-59.89432,305.49,2.53,1.53,2021-12-31,0204,T,64,6.1NRT,293.25,15.77,N
-15.61852,-59.80019,300.24,2.45,1.51,2021-12-31,0204,T,9,6.1NRT,290.14,11.51,N
-34.90979,173.21323,331.4,1.05,1.03,2021-12-31,0234,A,33,6.1NRT,311.79,21.67,D
43.12332,-4.05825,301.51,2.79,1.6,2021-12-31,0143,A,42,6.1NRT,285.14,33.04,N
31.66632,6.06058,307.5,1.2,1.09,2021-12-31,0145,A,72,6.1NRT,282.58,15.67,N
11.13257,1.19058,300.18,1.27,1.12,2021-12-31,0149,A,20,6.1NRT,287.36,7.27,N
10.32648,5.71949,301.18,2.82,1.6,2021-12-31,0149,A,38,6.1NRT,290.63,20.44,N
10.957,-4.66839,311.4,1.2,1.09,2021-12-31,0149,A,82,6.1NRT,294.01,14.06,N
10.20544,-0.21262,303.4,1.1,1.05,2021-12-31,0149,A,43,6.1NRT,286.73,7.26,N
10.20391,-0.20271,306.49,1.1,1.05,2021-12-31,0149,A,60,6.1NRT,287.6,9.08,N
10.46888,-2.01345,302.38,1,1,2021-12-31,0149,A,27,6.1NRT,292.09,4.4,N
10.1961,-0.21409,303.33,1.1,1.05,2021-12-31,0149,A,8,6.1NRT,288.62,7.04,N
10.46074,-2.02966,305.49,1,1,2021-12-31,0149,A,64,6.1NRT,290.08,6.72,N
10.4594,-2.02063,324.81,1,1,2021-12-31,0149,A,100,6.1NRT,294.55,22.97,N
10.29614,-0.92313,304.31,1.04,1.02,2021-12-31,0149,A,59,6.1NRT,289.58,7.34,N
